world,room,spawnpoint,sp_id,sp_id_index,name,obj_id,PosX,PosY,PosZ,RotX,RotY,RotZ,SpawnType,SpawnArgument,Serial,Arg1,Arg2,RC,SpawnDelay,Cmd,SpawnRange,Level,Medal
Agrabah,Agrabah,a50e,127,0,(N) Peddler (RTN) (AL),1160,449.19,-0.0,2098.93,0,-0.78,0,0,0,158,0,1,0,0,155,0,0,0
Agrabah,Agrabah,a52_,529,0,(N) Peddler (RTN) (AL),1160,414.24,-0.0,2263.56,0,-0.71,0,0,0,648,0,2,591,0,31,0,0,0
Agrabah,Agrabah,b00_,1143,0,(N) Iago (RTN) (AL),1058,37.24,-0.0,2080.12,0,2.65,0,0,0,1106,0,0,1341,0,31,0,0,0
Agrabah,Agrabah,b_00,64,0,(M) Luna Bandit,12,1779.42,-150.91,1478.5,0,0,0,2,0,813,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,64,1,(M) Luna Bandit,12,1629.42,-150.91,1478.5,0,0,0,2,0,814,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,67,0,(M) Shadow,302,3221.91,16.76,1235.87,0,0,0,2,0,818,0,0,0,0,0,0,1,0
Agrabah,Agrabah,b_00,67,1,(M) Shadow,302,3221.91,16.76,685.87,0,0,0,2,0,819,0,0,0,0,0,0,1,0
Agrabah,Agrabah,b_00,67,2,(M) Luna Bandit,12,3221.91,-183.24,985.87,0,0,0,2,0,816,0,0,0,0,0,0,1,0
Agrabah,Agrabah,b_00,69,0,(M) Silver Rock,71,2333.21,-380.0,-75.96,0,2.38,0,2,0,822,0,0,0,45,0,0,0,0
Agrabah,Agrabah,b_00,69,1,(M) Silver Rock,71,2514.12,-530.0,-248.5,0,2.38,0,2,0,820,0,0,0,45,0,0,0,0
Agrabah,Agrabah,b_00,69,2,(M) Silver Rock,71,2731.23,-630.0,-455.54,0,2.38,0,2,0,821,0,0,0,45,0,0,0,0
Agrabah,Agrabah,b_00,624,0,(M) Silver Rock,71,412.9,-491.13,164.85,0,2.34,0,2,0,824,0,0,0,10,0,0,0,0
Agrabah,Agrabah,b_00,625,0,(M) Silver Rock,71,-2029.08,-760.0,966.27,0,0.83,0,2,0,826,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,625,1,(M) Silver Rock,71,-1955.47,-760.0,898.58,0,0.83,0,2,0,827,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,625,2,(M) Silver Rock,71,-2071.8,-760.0,1141.41,0,0.83,0,2,0,834,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,626,0,(M) Silver Rock,71,-1429.46,-650.0,616.28,0,2.37,0,2,0,828,0,0,0,40,0,0,0,0
Agrabah,Agrabah,b_00,626,1,(M) Shadow,302,-1150.95,-492.09,903.39,0,2.37,0,2,0,829,0,0,0,40,0,0,0,0
Agrabah,Agrabah,b_00,629,0,(M) Silver Rock,71,-1994.03,-660.0,-710.07,0,1.58,0,2,0,831,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,629,1,(M) Soldier,301,-1994.74,-760.0,-560.08,0,1.58,0,2,0,830,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,629,2,(M) Silver Rock,71,-2144.74,-660.0,-560.79,0,1.58,0,2,0,832,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,630,0,(M) Luna Bandit,12,3558.38,-0.0,222.2,0,-0.82,0,2,0,835,0,0,0,0,0,0,1,0
Agrabah,Agrabah,b_00,630,1,(M) Luna Bandit,12,3264.8,-0.0,-49.49,0,-0.82,0,2,0,836,0,0,0,20,0,0,1,0
Agrabah,Agrabah,b_00,630,2,(M) Soldier,301,3411.59,-200.0,86.36,0,-0.82,0,2,0,837,0,0,0,0,0,0,1,0
Agrabah,Agrabah,b_00,631,0,(M) Silver Rock,71,-3791.15,-600,1180.43,0,2.36,0,2,0,838,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,631,1,(M) Silver Rock,71,-3792.56,-600,1533.98,0,2.36,0,2,0,840,0,0,0,25,0,0,0,0
Agrabah,Agrabah,b_00,631,2,(M) Soldier,301,-3720.72,-500,1251.42,0,2.36,0,2,0,843,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,631,3,(M) Soldier,301,-3721.57,-500,1463.55,0,2.36,0,2,0,844,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,632,0,(M) Luna Bandit,12,14.7,-100.0,1996.33,0,-0.0,0,2,0,847,1,0,0,25,0,0,0,0
Agrabah,Agrabah,b_00,632,1,(M) Silver Rock,71,-135.34,-250.0,1946.44,0,-0.0,0,2,0,846,1,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,632,2,(M) Silver Rock,71,214.66,-250.0,1946.19,0,-0.0,0,2,0,937,1,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,633,0,(M) Luna Bandit,12,-511.55,-0.0,2511.9,0,0.75,0,2,0,849,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,634,0,(M) Shadow,302,-834.8,-0.0,-806.46,0,0.8,0,2,0,853,1,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,634,1,(M) Shadow,302,-946.09,-0.0,-490.06,0,0.8,0,2,0,850,1,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,634,2,(M) Shadow,302,-953.09,-0.0,-65.85,0,0.8,0,2,0,852,1,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,634,3,(M) Shadow,302,-745.64,-0.0,220.45,0,0.8,0,2,0,854,1,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,634,4,(M) Soldier,301,-1020.29,-250.0,-279.12,0,0.8,0,2,0,851,1,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,635,0,(M) Luna Bandit,12,296.18,-250,-2041.17,0,-0.79,0,2,0,815,0,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,635,1,(M) Soldier,301,260.19,-250,-2359.3,0,-0.79,0,2,0,855,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_00,635,2,(M) Soldier,301,579.03,-250,-2041.74,0,-0.79,0,2,0,858,0,0,0,15,0,0,0,0
Agrabah,Agrabah,b_00,636,0,(M) Luna Bandit,12,624.3,-0.0,2451.32,0,-0.74,0,2,0,859,0,0,0,0,0,0,0,0
Agrabah,Agrabah,b_01,75,0,(M) Fiery Globe,76,1287.89,-500.0,-509.12,0,2.39,0,2,1,947,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,75,1,(M) Fiery Globe,76,1320.48,-500.0,-447.21,0,2.39,0,2,1,942,0,0,0,25,0,0,0,0
Agrabah,Agrabah,b_01,75,2,(M) Fiery Globe,76,1781.34,-500.0,-782.78,0,2.39,0,2,1,941,0,0,0,25,0,0,0,0
Agrabah,Agrabah,b_01,75,3,(M) Fiery Globe,76,1283.17,-500.0,-848.59,0,2.39,0,2,1,945,0,0,0,25,0,0,0,0
Agrabah,Agrabah,b_01,75,4,(M) Fiery Globe,76,1520.38,-500.0,-440.88,0,2.39,0,2,1,946,0,0,0,25,0,0,0,0
Agrabah,Agrabah,b_01,75,5,(M) Fiery Globe,76,1748.74,-500.0,-844.69,0,2.39,0,2,1,943,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,75,6,(M) Fiery Globe,76,1537.8,-500.0,-990.6,0,2.39,0,2,1,944,0,0,0,25,0,0,0,0
Agrabah,Agrabah,b_01,75,7,(M) Fiery Globe,76,1505.2,-500.0,-1052.51,0,2.39,0,2,1,963,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,75,8,(M) Fiery Globe,76,1250.58,-500.0,-910.5,0,2.39,0,2,1,964,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,75,9,(M) Fiery Globe,76,1487.79,-500.0,-502.79,0,2.39,0,2,1,965,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,75,10,(M) Fiery Globe,76,1600.4,-500.0,-899.42,0,2.39,0,2,1,950,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,75,11,(M) Fiery Globe,76,1244.25,-500.0,-710.6,0,2.39,0,2,1,951,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,75,12,(M) Fiery Globe,76,1398.92,-500.0,-855.78,0,2.39,0,2,1,952,0,0,0,25,0,0,1,0
Agrabah,Agrabah,b_01,76,0,(M) Fat Bandit,1,1521.82,0,1625.46,0,-1.63,0,2,0,863,0,0,0,0,0,0,1,0
Agrabah,Agrabah,b_01,76,1,(M) Fat Bandit,1,1543.22,0,1974.81,0,-1.63,0,2,0,864,0,0,0,0,0,0,1,0
Agrabah,Agrabah,b_01,76,2,(M) Fat Bandit,1,1636.78,-0.0,1820.68,0,-1.63,0,2,0,948,0,0,0,25,0,0,0,0
Agrabah,Agrabah,b_01,77,0,(M) Fortuneteller,11,2829.86,-0.0,717.29,0,1.56,0,2,0,866,0,0,0,20,0,0,0,0
Agrabah,Agrabah,b_01,77,1,(M) Shadow,302,2681.38,-0.0,918.42,0,1.56,0,2,0,867,0,0,0,20,0,0,0,0
Agrabah,Agrabah,b_01,77,2,(M) Fortuneteller,11,2832.89,-0.0,1117.28,0,1.56,0,2,0,868,0,0,0,20,0,0,0,0
Agrabah,Agrabah,b_01,78,0,(M) Fiery Globe,76,-1936.69,-660.0,-1254.07,0,2.39,0,2,1,956,0,0,0,8,0,0,1,0
Agrabah,Agrabah,b_01,78,1,(M) Fiery Globe,76,-1533.73,-660.0,-1341.35,0,2.39,0,2,1,957,0,0,0,8,0,0,1,0
